televisa deportes,100
televisa,96
azteca deportes,33
deportes espn,32
azteca,32
televisa en vivo deportes,20
televisa deportes vivo,19
televisa en vivo,19
los deportes,17
tv deportes,12
palacio de los deportes,11
deportes mexico,11
tv azteca,9
tv azteca deportes,9
azteca deportes en vivo,8
deportes liga mx,7
futbol,6
deportes hoy,5
noticias deportes,5
tdn deportes,5
tdn,5
tv en vivo,5
tv azteca deportes en vivo,4
tv azteca en vivo,4
deportes marti,4
tudn,Aumento puntual
tudn en vivo,Aumento puntual
despidos televisa deportes,Aumento puntual
mexico vs panama,Aumento puntual
exposexo palacio delos deportes 2019,Aumento puntual
mexico vs brasil sub 17 2019,+4.250%
enjambre palacio de los deportes 2019,+4.000%
despedidos de televisa deportes,+3.550%
expo sexi palacio delos deportes 2019,+3.400%
dime las noticias de deportes,+3.350%
mexico vs bermudas,+3.100%
santos contra cruz azul,+2.050%
noticias de deportes 2019,+1.750%
mexico vs holanda,+1.200%
américa vs. puebla,+1.150%
televisa deportes america vs cruz azul en vivo,+550%
potros uaem contra pumas,+550%
deportes liga mx,+160%
palacio de los deportes,+60%
los deportes,+50%

